model,position,tier,layer,cosine,causal_similarity,causal_projection
C2,2,weakly_adjacent,27,-0.3676027813181281,-0.9830967971977114,-13225.821852879166
C2,2,negated,0,-0.08360821069974918,-0.07240076926829014,-0.30945022656746324
C2,2,negated,8,-0.15156246956437827,-0.8748864303497252,-639.7394315362374
C2,2,negated,16,-0.23145586464786902,-0.9252589546964087,-1243.8186874844473
C2,2,negated,27,-0.3607619889266789,-0.9831616083960898,-13175.611862899661
C2,2,neutral,0,-0.09728170391637832,-0.09274182981727376,-0.3948355009628574
C2,2,neutral,8,-0.17892155376928193,-0.8661933028051547,-635.071628145388
C2,2,neutral,16,-0.2735961976647377,-0.9364771336870428,-1298.415355247517
C2,2,neutral,27,-0.3764441324131829,-0.9835024266252185,-13636.627794328715
C2,3,explicit,0,0.12119324054801836,0.1597947131756273,0.7226547001061546
C2,3,explicit,8,0.0979040579777211,-0.7438549638576868,-462.0258354267938
C2,3,explicit,16,0.09000148195307701,-0.8133417397757842,-823.2180467337275
C2,3,explicit,27,0.10501187946647406,-0.7533459794577166,-5557.7338642639925
C2,3,token_adjacent,0,-0.1010480382211972,-0.06312975796267911,-0.2531377610535043
C2,3,token_adjacent,8,-0.13416304237383883,-0.8658408801296166,-646.6186878308822
C2,3,token_adjacent,16,-0.18645568831823767,-0.9258889300346983,-1275.8387255477433
C2,3,token_adjacent,27,-0.3353267388790846,-0.9765104189067115,-12641.622581399377
C2,3,concept_adjacent,0,-0.14718672834569588,-0.1129735071328378,-0.4722258938022015
C2,3,concept_adjacent,8,-0.17814503638306634,-0.8971603319499195,-685.0715173293285
C2,3,concept_adjacent,16,-0.23671561360359192,-0.9388239891553326,-1343.726634365029
C2,3,concept_adjacent,27,-0.4097511837258935,-0.9855099762440451,-13903.529761173813
C2,3,weakly_adjacent,0,-0.13447705117694567,-0.09464798846319043,-0.3984400344639175
C2,3,weakly_adjacent,8,-0.16374473044881596,-0.8746072508776974,-653.5876533119682
C2,3,weakly_adjacent,16,-0.22167219448368997,-0.9338742859630215,-1298.1864978113704
C2,3,weakly_adjacent,27,-0.3893652495369315,-0.9839794493234959,-13290.002057149532
C2,3,negated,0,-0.1328102961933473,-0.10575991525200504,-0.4331432019221059
C2,3,negated,8,-0.15463963199174033,-0.8872310583829152,-676.3711677171532
C2,3,negated,16,-0.20005041285185143,-0.9248390130798293,-1294.0379291063305
C2,3,negated,27,-0.3889087990671396,-0.9844314698432615,-13353.59937177659
C2,3,neutral,0,-0.12926781253889202,-0.10372589637724945,-0.4315046880653311
C2,3,neutral,8,-0.16925108235595482,-0.8837116449155381,-676.172128341626
C2,3,neutral,16,-0.23177135525271297,-0.933646876373327,-1315.232395997239
C2,3,neutral,27,-0.4005808957346848,-0.9844458691871744,-13583.785106091114
C2,4,explicit,0,0.13960931041743607,0.15445851621839032,0.6907535866601842
C2,4,explicit,8,0.10834763126680627,-0.7162252285585035,-422.02930154661124
C2,4,explicit,16,0.10091044753207826,-0.8187288200093781,-795.4591961497432
C2,4,explicit,27,0.11973302428377793,-0.7341734963527403,-6027.413381195958
C2,4,token_adjacent,0,-0.0678120727656642,-0.045766600474438215,-0.17338027199908482
C2,4,token_adjacent,8,-0.1151139454334043,-0.8692234418306495,-638.2751525251919
C2,4,token_adjacent,16,-0.16828764735721052,-0.9330554628807319,-1299.951083930684
C2,4,token_adjacent,27,-0.2985189853888005,-0.9768722953145271,-12564.191917613081
C2,4,concept_adjacent,0,-0.11460677538940217,-0.09823035950367318,-0.4029076588567884
C2,4,concept_adjacent,8,-0.15305169123224915,-0.8826739393639917,-653.4869140540078
C2,4,concept_adjacent,16,-0.21370210736058654,-0.9404322470006811,-1328.2050187442253
C2,4,concept_adjacent,27,-0.3663438215479255,-0.9824868456099051,-13848.385365302302
C2,4,weakly_adjacent,0,-0.10426551904238295,-0.0861930789690091,-0.3528318817392568
C2,4,weakly_adjacent,8,-0.14403200066299177,-0.8701709046135039,-642.6596212535903
C2,4,weakly_adjacent,16,-0.20293151379562915,-0.9393217867103684,-1322.4582950702984
C2,4,weakly_adjacent,27,-0.34986050000414254,-0.9812723150083903,-13251.232368649667
C2,4,negated,0,-0.11280938456766307,-0.10226824502780577,-0.41635420027921954
C2,4,negated,8,-0.13455674064345657,-0.880400058561689,-640.5495732310909
C2,4,negated,16,-0.18446240260498598,-0.9341131305948062,-1294.2126686189201
C2,4,negated,27,-0.3481162451580167,-0.9811844787074587,-13331.20472637027
C2,4,neutral,0,-0.1069299425410905,-0.0895358769476648,-0.3633100124125596
C2,4,neutral,8,-0.14986916231656713,-0.8804118666352485,-655.9191476586053
C2,4,neutral,16,-0.21152696152882916,-0.9408325722896942,-1333.6317875536006
C2,4,neutral,27,-0.35623605600425173,-0.9815640679013404,-13558.723847148618
RRDN4-b50,0,explicit,0,0.12046269258949906,0.14685918397147618,0.6577579998255979
RRDN4-b50,0,explicit,8,0.39170871837064625,0.7518883165671665,486.546549980011
RRDN4-b50,0,explicit,16,0.29710667544277386,-0.739499077746024,-661.3436629191839
RRDN4-b50,0,explicit,27,0.050348549205809834,-0.9139238181258692,-6889.48381230164
RRDN4-b50,0,token_adjacent,0,-0.13193731477833354,-0.0911495543341332,-0.4204462450196895
RRDN4-b50,0,token_adjacent,8,0.09440629564225674,0.6702092786132354,437.624226386042
RRDN4-b50,0,token_adjacent,16,-0.03870553114044015,-0.8403233749320057,-1089.4940368610446
RRDN4-b50,0,token_adjacent,27,-0.28577217590995135,-0.9687462243840902,-11909.711384498787
RRDN4-b50,0,concept_adjacent,0,-0.2140446883882396,-0.18297458267065814,-0.8361075749895529
RRDN4-b50,0,concept_adjacent,8,-0.012125187023775652,0.6254292672528251,413.1186954550915
RRDN4-b50,0,concept_adjacent,16,-0.17270599802955985,-0.865457268359183,-1154.5374128399012
RRDN4-b50,0,concept_adjacent,27,-0.4405458956770599,-0.9869299855754037,-13790.40461229161
RRDN4-b50,0,weakly_adjacent,0,-0.16401683712872908,-0.13380962415121317,-0.5966204810496254
RRDN4-b50,0,weakly_adjacent,8,0.031313713281415405,0.6352900217280399,414.36535104029537
RRDN4-b50,0,weakly_adjacent,16,-0.12464404919417575,-0.8554658057539128,-1149.2884400974012
RRDN4-b50,0,weakly_adjacent,27,-0.3889108391664922,-0.9833328481888565,-13046.592436028788
RRDN4-b50,0,negated,0,-0.10458643792720977,-0.07849593485749112,-0.35839388913759473
RRDN4-b50,0,negated,8,0.11329556690528989,0.6757329657614372,469.64719197014944
RRDN4-b50,0,negated,16,-0.050932370845694096,-0.8443138307825752,-1101.9847166610975
RRDN4-b50,0,negated,27,-0.33389696065802127,-0.9720890733959319,-12337.432567632372
RRDN4-b50,0,neutral,0,-0.19222935933087554,-0.16260288431192757,-0.7373565932096502
RRDN4-b50,0,neutral,8,0.012986055091023446,0.6374627334338739,431.8355644859487
RRDN4-b50,0,neutral,16,-0.15904726676908987,-0.8645305492894728,-1184.6552949413863
RRDN4-b50,0,neutral,27,-0.42836517278637204,-0.9861572401459794,-13783.078369042556
RRDN4-b50,1,explicit,0,0.1217201125610154,0.1496977683188897,0.6421232687743818
RRDN4-b50,1,explicit,8,0.13495605453848838,-0.8033132871026605,-481.8818394379798
RRDN4-b50,1,explicit,16,0.08802898399531842,-0.8625956205902926,-769.6515484463189
RRDN4-b50,1,explicit,27,-0.03371682497207076,-0.8898280511867321,-7509.995141256246
RRDN4-b50,1,token_adjacent,0,-0.05010332797362935,-0.029030166265269556,-0.127494298878268
RRDN4-b50,1,token_adjacent,8,-0.06032178409106564,-0.8606246764878582,-593.353930982492
RRDN4-b50,1,token_adjacent,16,-0.15840428768889978,-0.9243266570988788,-1180.3442671486396
RRDN4-b50,1,token_adjacent,27,-0.32731272890232505,-0.9629742746145724,-11733.985503137497
RRDN4-b50,1,concept_adjacent,0,-0.18609114900580606,-0.14998696639475104,-0.6705984452435609
RRDN4-b50,1,concept_adjacent,8,-0.1965130985795986,-0.9009599061076531,-635.8779105349508
RRDN4-b50,1,concept_adjacent,16,-0.30059499097056686,-0.9567653388520665,-1389.5172056831182
RRDN4-b50,1,concept_adjacent,27,-0.48410722663626077,-0.9895445031896101,-14414.627459196006
RRDN4-b50,1,weakly_adjacent,0,-0.1395698830857873,-0.11441379456679952,-0.5097194237526669
RRDN4-b50,1,weakly_adjacent,8,-0.14989983051724265,-0.8859101217673085,-614.0513477500684
RRDN4-b50,1,weakly_adjacent,16,-0.25417993613518775,-0.9466743989834941,-1302.534862583076
RRDN4-b50,1,weakly_adjacent,27,-0.44476995755918325,-0.9878826542110336,-13563.117189577664
RRDN4-b50,1,negated,0,-0.09450165290676522,-0.08101005774758624,-0.35375918364435277
RRDN4-b50,1,negated,8,-0.10877415242604911,-0.862430986848131,-611.9787361660024
RRDN4-b50,1,negated,16,-0.2096594259387348,-0.9371765897500162,-1241.8105462188564
RRDN4-b50,1,negated,27,-0.39437503959052267,-0.9760006831532277,-12754.934668899205
RRDN4-b50,1,neutral,0,-0.15809352388472428,-0.12524962919011687,-0.5580726529585294
RRDN4-b50,1,neutral,8,-0.18207480006984303,-0.8984685884210661,-643.012153190957
RRDN4-b50,1,neutral,16,-0.2909321816425238,-0.9531586330167532,-1369.1752761160494
RRDN4-b50,1,neutral,27,-0.47589789420366285,-0.9890817514511309,-14332.702635935168
RRDN4-b50,2,explicit,0,0.09854139842558653,0.18548097815411452,0.8203660976657292
RRDN4-b50,2,explicit,8,0.048715251698158685,-0.8058049006695556,-542.7055309743057
RRDN4-b50,2,explicit,16,0.025577137623913587,-0.854396289628212,-868.1964425942965
RRDN4-b50,2,explicit,27,0.08614464600104839,-0.8792497814502066,-7000.679359698852
RRDN4-b50,2,token_adjacent,0,-0.014850394575623795,0.00613697114646516,0.0319925394778173
RRDN4-b50,2,token_adjacent,8,-0.0838863088504877,-0.8399493053978759,-579.2269454517731
RRDN4-b50,2,token_adjacent,16,-0.1545082152215764,-0.9048864167420737,-1104.2482822874847
RRDN4-b50,2,token_adjacent,27,-0.2296622435748577,-0.9534985968065471,-10954.723905500974
RRDN4-b50,2,concept_adjacent,0,-0.0914409066789085,-0.07758647073502907,-0.3232768788503437
RRDN4-b50,2,concept_adjacent,8,-0.1751079885335639,-0.8606541820123045,-628.0954037676094
RRDN4-b50,2,concept_adjacent,16,-0.2693419834366068,-0.933457568601584,-1262.852664115109
RRDN4-b50,2,concept_adjacent,27,-0.3863716998929158,-0.9838906582372329,-13609.026696981928
RRDN4-b50,2,weakly_adjacent,0,-0.07390199065761408,-0.06623432634335467,-0.2802787787457861
RRDN4-b50,2,weakly_adjacent,8,-0.15151256876997649,-0.8623012572742753,-607.7022126650133
RRDN4-b50,2,weakly_adjacent,16,-0.2399391506705433,-0.9269833395198154,-1222.916182524502
RRDN4-b50,2,weakly_adjacent,27,-0.3428356767108198,-0.9799069869658308,-12570.866864569205
RRDN4-b50,2,negated,0,-0.05568449805141427,-0.03757961717482661,-0.14901106590070307
RRDN4-b50,2,negated,8,-0.12551604089559987,-0.8383798652873256,-573.7987275044454
RRDN4-b50,2,negated,16,-0.2079679076030152,-0.9148880134360692,-1168.768136305548
RRDN4-b50,2,negated,27,-0.29891742288367823,-0.9561961502167402,-11980.235404201232
RRDN4-b50,2,neutral,0,-0.09506498039034861,-0.0807037947538053,-0.3338567625487573
RRDN4-b50,2,neutral,8,-0.17470417164399155,-0.8562545841872511,-617.142795080434
RRDN4-b50,2,neutral,16,-0.26641569707675705,-0.9317120719182139,-1253.029306617414
RRDN4-b50,2,neutral,27,-0.3771630918766771,-0.9834300076861686,-13614.735663827883
RRDN4-b50,3,explicit,0,0.12824796913890169,0.16577437615950655,0.7415377666163621
RRDN4-b50,3,explicit,8,0.09471342539414764,-0.793247881419764,-505.01300819611265
RRDN4-b50,3,explicit,16,0.10213249641936273,-0.8261635268274128,-797.8137532773819
RRDN4-b50,3,explicit,27,0.09779846031218767,-0.7983797089539826,-5716.701287753428
RRDN4-b50,3,token_adjacent,0,-0.05771177885122597,-0.016390462145891842,-0.053954936413649485
RRDN4-b50,3,token_adjacent,8,-0.08386682742508128,-0.8463535751386595,-602.4112973784054
RRDN4-b50,3,token_adjacent,16,-0.12261009604437277,-0.9011036223442045,-1146.0796448813478
RRDN4-b50,3,token_adjacent,27,-0.2501672176388092,-0.9570132843355736,-11190.459627040256
RRDN4-b50,3,concept_adjacent,0,-0.1510506603529211,-0.09714102179968741,-0.4031325887249001
RRDN4-b50,3,concept_adjacent,8,-0.1767700769333169,-0.8736851092831479,-652.4233246830779
RRDN4-b50,3,concept_adjacent,16,-0.23263344400562347,-0.9358347929570198,-1279.1972200165167
RRDN4-b50,3,concept_adjacent,27,-0.4122184417955577,-0.985038742527714,-13903.63890765584
RRDN4-b50,3,weakly_adjacent,0,-0.12495758317585569,-0.08536733650299931,-0.3558133133788526
RRDN4-b50,3,weakly_adjacent,8,-0.15175628615368622,-0.8616695198125014,-641.6962782163531
RRDN4-b50,3,weakly_adjacent,16,-0.20550081400200726,-0.9271889375647032,-1252.3175621406037
RRDN4-b50,3,weakly_adjacent,27,-0.36951394230592993,-0.9817019831981527,-12847.858301637583
RRDN4-b50,3,negated,0,-0.09994240522268229,-0.0644531241303299,-0.26219366871981703
RRDN4-b50,3,negated,8,-0.12593868626747282,-0.8508588610101165,-619.4109163684599
RRDN4-b50,3,negated,16,-0.17412225583102553,-0.9171299218517229,-1210.3628227505737
RRDN4-b50,3,negated,27,-0.32115823100553825,-0.9659435348800856,-12194.047676526234
RRDN4-b50,3,neutral,0,-0.1316493157653271,-0.09981745280112839,-0.4107357565787327
RRDN4-b50,3,neutral,8,-0.16830797578075102,-0.878690935536992,-662.935522798835
RRDN4-b50,3,neutral,16,-0.2268333970941603,-0.9335284304206962,-1275.9412461842066
RRDN4-b50,3,neutral,27,-0.4009947816708258,-0.9851987050702279,-13580.117713697084
RRDN4-b50,4,explicit,0,0.13497479346115143,0.14647259077370023,0.6581363389292073
RRDN4-b50,4,explicit,8,0.1175564386183396,-0.7349852349581226,-414.33786381262513
RRDN4-b50,4,explicit,16,0.11833686542348004,-0.8169126701778668,-750.239223182597
RRDN4-b50,4,explicit,27,0.11440921285655349,-0.7465172737649891,-5933.505645420049
RRDN4-b50,4,token_adjacent,0,-0.02723748312157113,-0.006173646685854678,-0.004764330386431719
RRDN4-b50,4,token_adjacent,8,-0.0672963136562612,-0.8263716492007183,-572.4517350709128
RRDN4-b50,4,token_adjacent,16,-0.1103638748335652,-0.9101817464778841,-1163.2364271304875
RRDN4-b50,4,token_adjacent,27,-0.21489748500287534,-0.9316599747093354,-11105.67659469576
RRDN4-b50,4,concept_adjacent,0,-0.12300072209851351,-0.10845486653740495,-0.44212017161559913
RRDN4-b50,4,concept_adjacent,8,-0.1570309741026722,-0.8767496822289896,-645.0336319138914
RRDN4-b50,4,concept_adjacent,16,-0.21282675772439688,-0.9397119017078717,-1309.7067423281242
RRDN4-b50,4,concept_adjacent,27,-0.3723349569737911,-0.9832936701586482,-14017.223206916698
RRDN4-b50,4,weakly_adjacent,0,-0.09293121281079948,-0.07919209740874696,-0.31758459460049243
RRDN4-b50,4,weakly_adjacent,8,-0.13190486736944876,-0.855250811000935,-618.4758521931075
RRDN4-b50,4,weakly_adjacent,16,-0.18681225717999042,-0.9300725680475275,-1260.7646596511172
RRDN4-b50,4,weakly_adjacent,27,-0.3287033910385799,-0.9779780270189197,-12666.614762141926
RRDN4-b50,4,negated,0,-0.07204371249536053,-0.061202296879925185,-0.24861966323796608
RRDN4-b50,4,negated,8,-0.10400987574015744,-0.8397020710803648,-582.2891266409763
RRDN4-b50,4,negated,16,-0.1537786669214256,-0.9193081708106319,-1187.8476450427117
RRDN4-b50,4,negated,27,-0.28960674347821624,-0.9651779147213325,-12295.216167115987
RRDN4-b50,4,neutral,0,-0.11019412567839026,-0.09032448480034325,-0.3694525615575315
RRDN4-b50,4,neutral,8,-0.14967199334741704,-0.8808846481898305,-647.8278586404642
RRDN4-b50,4,neutral,16,-0.20729820574500732,-0.9406434105773978,-1314.0218256033577
RRDN4-b50,4,neutral,27,-0.35903472363948824,-0.9821732117460273,-13634.071134006956
